track_genre
Comedy
Ghost - Acoustic
To Begin Again
Can't Help Falling In Love
Hold On
Days I Will Remember
Say Something
I'm Yours
Lucky
Hunger
Give Me Your Forever
I Won't Give Up
Solo
Bad Liar
Hold On - Remix
Falling in Love at a Coffee Shop
ily (i love you baby)
At My Worst
Photograph
Demons
93 Million Miles
Unlonely
Bella Luna
Winter Wonderland
If It Kills Me
All I Want For Christmas Is A Real Good Tan
Party of One
Lonely This Christmas
Throwing Good After Bad
This Time Tomorrow
The Haves
When You're Wrong
You and Me on the Rock
"Speak Your Mind (From the Netflix Series ""We The People"")"
Trampoline - Acoustic
透明だった世界
Pieces
A Drop in the Ocean
So Far Away - Acoustic
The Enemy
Build It Better
Sleepwalking in the Rain
Gravity
What's Left of You
Pano
Sky's Still Blue
And I Love Her
We Can't Stop
Always Be My Baby
Alone with You
Making All Things New
She Used To Be Mine
In My Veins - Feat. Erin Mccarley
I Don't Wanna Live Forever (Fifty Shades Darker)
A Drop In the Ocean
Superman (It's Not Easy)
When the End Comes
You're Still The One
Light Me Up
Kaleidoscope
The Long Road
What Would I Do Without You
Have It All
Heavy Heart
The House We Never Built
Society
Please Don't Say You Love Me
Guaranteed
Brave
Heaven Knows
I Heard The Bells On Christmas Day
Fairytale Of New York
Suddenly I See
Rain
Somebody Else - Acoustic
Pieces (Hushed)
Mirrors
Stand by Me
Losing Me
なんでもないや - movie ver.
You’re Beautiful - Acoustic
Hikare Inochi
How To Lose a Girl
Can’t Help Falling in Love
Dive Deep (Hushed)
When the Party's over (Acoustic Piano)
Boston
Living in the Shadows
In Case You Didn’t Know
death bed (coffee for your head)
You Are My Sunshine
I Was Born To Love You
Only Love Can Hurt Like This
Mr Blue
Do Not Let Me Go
Holding On And Letting Go
You Already Know
Believer (Remix)
Collide - Acoustic Version
Love Like This
Come On Get Higher
"""Something In the Rain"" (Something In the Rain, Pt. 1) [Music from the Original TV Series]"
Kiss Me Slowly
Without You
Absolutely Zero
Sleep All Day
You and I Both
Long Nights
Who Needs Shelter
No Stopping Us
I'll Do Anything
Make You Feel My Love
The Remedy (I Won't Worry)
Too Much Food
The Boy's Gone
"On Love, in Sadness"
Curbside Prophet
"Tonight, Not Again - Live"
"Tonight, Not Again"
Hard Sun
Here with Me
The Scientist
Collide
get better
Sympathy
Let It Go
What You Need
100 Years
You're the Sea
No Direction
Belong
As It Was
Chi Mai
Had It All
Take Me Back ft. Yonnyboii
Whole Again - Acoustic Version
Overpass Graffiti
Love Song
Let Her Go
Brighter Than Sunshine
Love Story
Mujer con Abanico
In the Shadows
Can You Feel the Love Tonight
The Story
Better
Iris
Rockabye - Acoustic Version
I Need You More Today
Beautiful Soul
Let's See What The Night Can Do
"La La La (Something In the Rain, Pt. 2) [Music from the Original TV Series]"
Forever And Always
Fine On The Outside
Tortured Soul
I Believe in You
At Home
"Portland, Maine"
Holding On and Letting Go
The Flood
Hanggang Kailan (Umuwi Ka Na Baby)
Out of My League
Rise
World Spins Madly On
Stumble
Paradise
"Moonlight, Mistletoe & You"
ひまわりの約束
Since U Been Gone - Acoustic Version
"One more time,One more chance"
Creep
Higher Love
Hyouriittai
How Long Will I Love You
Binibini
You Were Supposed to Be Different
Thinking out Loud
Perfect / Style
Poison & Wine
You And I
Give Me Your Forever (ft. Billkin)
Breathe (2 AM)
Habang Buhay
Bulletproof
Spectrum
Girls Like You - Acoustic Version
Nangangamba
Better Together
Heartbreak Anniversary
One More Time Around
Heart Can’t Lose
I Ain't Ever Loved No One - Acoustic
Empty
"See You Again, Love Me Like You Do, Sugar - Acoustic Mashup"
The Reason
Fix You
Hand to Hold
Hold You in My Arms
One Last Dance
Heaven
The Spark - Bonus Track
American Beauty
Such A Simple Thing
Colors
Someone You Loved
More Than Friends (feat. Meghan Trainor)
Flurry Rush
I Choose You
I Do Adore
I'll Be Home For Christmas
Fuck You
Christmas Comes But Once A Year
If I Ain't Got You - Acoustic
Believe - Acoustic
Iris - Acoustic
Rain - Long Ver.
C'est si bon
Baby (Acoustic Version)
Reason
I Like Me Better
Asan Ka Na Ba
A Thousand Years
drivers license
Love Someone
The Winner Takes It All - Acoustic
Only Time
Almost Lover
Dance Monkey
Ocean
Dream a Little Dream of Me
Back For Good
OK
Just The Two Of Us
Hey There Delilah
Arcade
Yellow
Wake Me Up
Walking Blind
Headphones
Teenage Dream
The Worth Of The Wait
Can't Help Falling In Love - Piano Version
Never Come Back Again
Love You To Death
Someone You Loved - Acoustic
What a Wonderful World
You Broke Me First
Long Way Down
She Is Love
Marigold
12:51
サンサーラ
Sons and Daughters
Brand New
Gotta Have You
"30,000 Feet"
Jolene
No Ceiling
Front Porch
Goodbye Lulu
Three More Days
Isn't She Lovely - Acoustic
We Could Still Be Happy
Fix You - Acoustic
I'm Yours - Acoustic
Closer
A Sky Full of Stars
I Don't Believe in Satan
Pills
Shallow - Acoustic
Watermelon Sugar - Acoustic
Say You Won't Let Go - Acoustic
Call You Mine (Acoustic Piano)
For Now
Sweet Dream
Love Nwantiti
Stars Are on Your Side
We Don't Talk Anymore / Cold (feat. Sara Phillips)
Superman
Chasing Cars
Calm Me Down
KISSして
Binibini (Last Day On Earth) (feat. James TW)
Left for America
Ramparts
Hold On - Acoustic
Dust to Dust
Good night
As You Are
It Aint Me
The Lotto
Tamacun
Make It Without You
Dream
"Big Love, Small Moments"
I Am Not Alone
Stand Your Ground
Perfect Man
あ。っという間はあるさ
Tell The World
Ain't No Reason
A Month from Now
What If
Pussy Cat
Polaroid Picture
I Bet On Flying High
Mirrors - Acoustic
To the Wonder (feat. Kina Grannis)
Stay - Acoustic
太陽さん
Oh What A Love
Leave The Lights On
I Won't Let You Down
Look For The Good (Single Version)
Stargazing
Is It You
Slow Down Time
2002 - Acoustic
Sweeter
Heat Waves - Acoustic
アジアの純真
If the World Was Ending - Acoustic
Comes And Goes (In Waves)
ながれ星
Dusk Till Dawn - Acoustic
Don't Wanna Leave You
Passenger Seat
Love
Hallelujah
Ashes
明日の☆SHOW
Love Me Like You Do
Lost Sparks
Who We Are
Heart (Original Version)
It'll Be Alright
Everybody
Kabilugan Ng Buwan
Keep Breathing
Fast Car
Just the Way You Are
The Ladder
HELLO (Original Version)
接吻
Can't Keep It Inside
明日天気になれ
IT'S ONLY LOVE
それがすべてさ
I Don't Wanna Love Somebody Else
Burn It All!
Carried Me With You
"O, Pennsyltucky!"
"I Believed You, William Blake"
Pepperspray
Stickup
Heaven - Acoustic
Soldier's Eyes
Asleep Among Endives
Symphony - Acoustic
When I Was Your Man
Save Your Tears - Acoustic
Koi
July Bones
Autumn Breeze
Save Your Tears
You're Still The One - Acoustic
Somebody Loved
Bohemian Rhapsody - Acoustic
As It Was - Acoustic
Wish List
Beautiful Disaster
Fake a smile
River Flows In You
Kill Me Pretty
No Matter Where You Are
I Like You
The Mess I Made
"Here, Right Now"
Wonderful Tonight
Salvation
Wilderness
恋人 (Original Version)
I Just Called To Say I Love You
Fall on Me
Song To Sing When I'm Lonely
Have Yourself a Merry Little Christmas
Message (Original Version)
Beautiful In White
Heaven Is a Place on Earth
Passenger Seat (Acoustic)
Guaranteed - Humming Version
"Hang Me, Oh Hang Me"
The Afterglow
Eat the Meek
The Trouble with Wanting
You Are the Best Thing
Boycott Me!
To Risk to Live
"The Legend of Olog-hai, Pt. 1"
No Christmas For Me
This One's for Johnny
Graveyard - Acoustic
bouquet
こころをこめて
Laid
Same For You
2U - Acoustic Version
Duet
I'll Say I Do
Anyone
Start of Time
Heat Waves
There She Goes
Wells
God Only Knows
Afterglow
Burn The Rain
Already Mine
きみはぼくのともだち
Never Be the Same
All Is Well
My Mistake
Near Or Far
Without a Light
Lonely With Me
Time After Time
So Are You To Me
My Arms Were Always Around You
Dance Me to the End of Love - Bonus
Photographs
Baby Now That I Found You
Right Here Waiting
Smokestack Lightnin'
Feels Like Rain (feat. Bonnie Raitt)
Sugar Babe
Blister In The Sun
"Little Blue Pills, Pt. 2"
Paano Ang Simbang Gabi - Kung 'Di Ka Katabi
Bob
Psycho
Perfect Government
The Fear
Living My Best Life
Haven't Been Doing So Well
"The Legend of Olog-hai, Pt. 2"
You and Me On The Rock (feat. Lucius)
Glitch
A Thousand Years - Acoustic
2 Oceans
Golden Hour - Acoustic Piano
Without Me
You & Me (The Wildfire)
Dancing With A Stranger
Pero
Good 4 U (Acoustic)
And Then You
Here With Me - Acoustic
I'll Be There For You (Friends Theme)
So Far so Good
More Than Gravity
Fade into You
東京にもあったんだ
あの夏も 海も 空も
21 Guns
Waves
Running Up That Hill (A Deal With God) - Acoustic
Poison's Gone
18 ~eighteen~
Build Me Up Buttercup
Umbrella - Acoustic Version
Home
You're My Home
vs.2013 ~知覚と快楽の螺旋~
Something Stupid
Hanap-Hanap
The Will To Death
Boulevard of Broken Dreams (Acoustic)
Eloise
Help Me
Everytime We Touch (Acoustic)
Let It Be Me
Beer
Someone Like You
You've Got a Friend
This Little Light of Mine
Amazing Grace
Remnants of What People Used to Be
Linda Ronstadt
Unsteady - Acoustic Covers Versions of Popular Songs
Heart's Content
The Damned
Hot Knives
Nickel Plated
Peaches - Acoustic
You
Swimmers
Live Like We're Dying
Somebody That I Used To Know
Lost Without You
"One more time, One more chance"
you broke me first
Skylight
Game of Thrones
Nothing Like You and I
Wanted Man
Back To You
何度でも花が咲くように私を生きよう
Scared to Be Lonely
Sappy - Early Demo
Ancient Light
I Don't Wanna Live Forever (Fifty Shades Darker) - Acoustic Version
Before You Go
Ships In The Night
Only You
Waver
Missing Peace
聖域
Firework
Such A Simple Thing - Recorded at Sound Stage Studios Nashville
"Sad Theme (From ""One Punch Man"")"
Don't Know What I Want
Call Me
True
I Can't Make You Love Me
Say Anything
All We Are
Gentle Heart
All My Loving (Original Version)
アンダルシアに憧れて
想 -new love new world-
Last Christmas
Green Mountain State
Di Papakawalan
Can't Go Back Now
ウイスキーが、お好きでしょ
Ditches
Outside Villanova
Timeline
I'll Never Fall in Love Again
Stray Cat Strut
Goodbye Lulu Pt.2
Days n Daze of Our Lives
8 Track
4am
"10,000 Hours - Acoustic"
Yellow - Acoustic
No Air
Self Help
Blackbird Song
Easy On Me - Acoustic
Chasing Cars - Acoustic
Can't Take My Eyes Off of You
Fortune - Acoustic
Lot To Learn
Apologize
First & Last
"Cold, Cold Feeling"
Sweet Love
Shotgun
HEY!
Trouble Sleeping
Breathe Again
Trouble
Memories
Sink Or Swim
Tama Na
"He's A Pirate (From ""Pirates of the Caribbean"")"
能古島の片想い - Remastered 2018
Bitter Heart
I Want to Know What Love Is - Acoustic
ハンキーパンキー
Ordinary Days
Moon River
Forever Like That
Neighbor
一等賞
音タイム
The Joke
Toulumne
Just The Two Of Us - Acoustic
Arrythmic Palpitations
The Boat
Born Under A Bad Sign - Mono Mix
Nobody Knows Me At All
Bitter Morning Taste
DBS Out
Crazy - (Acoustic Mix)
Dungeon Song
Can I Sleep On Your Floor??
Josephine
いきのこり●ぼくら
Careless Whisper
Look After You
Perfect
When the Party's Over
Longest Night
Shame
Running Wild
彼方で
Hazy (Featuring William Fitzsimmons)
I Wanna Be Your Ghost (feat. Ghosts)
約束の丘
Young And In Love
No Plans
Easy on Me
Tonight You Belong To Me
One Last Breath
Devil's Backbone
Waltzing Matilda
Girls Chase Boys
The Woman I Love
The Love Me or Die
美しき花
Isn't She Lovely
世界中の誰よりきっと
Black Horse And The Cherry Tree
Drunks
Coming Home
I'm Tore Down
Neighbor (Piano Version)
I Will Always Be Yours
Nine on the Bortle
Redemption
Other Side Of The World
Setting Forth
Eulogy
Tarnished Ol' Photograph
Rocksteady
Come on In
Laugh While You Can
Untainted Love
Whiny Bitch
I Wanna See It Burn
I'll Be Home for Christmas
It's Amazing
How Far Does the Dark Go?
THATS WHAT I WANT (Acoustic)
Dynamite - Acoustic
Never Stop (Wedding Version)
You're Mine (The Chase)
パラレル・ラブ
So Are We
Shallow
Hold Each Other (feat. Futuristic)
別れの予感
Naked Heart
Smell the Coffee
See You Again
ゆめのなか
More Than You Know - Acoustic Covers of Popular Songs
Nothing Really Matters
Don't Wanna Know - Acoustic Version
Sweetest Thing
A Safe Place to Land (feat. John Legend)
Your Song
Billie Jean
Cadillac Assembly Line
Pirates of the Caribbean Theme
全て身に覚えのある痛みだろう?
Life Is A Bitch
オールドルーキー (再録)
The Past Recedes
Laro Laro Laro
Stones
Need You
When It's Gone
Heaven Sent
Too Much Heaven
Face the Void
V: Fair Trade Death March
Fate of a Coward
Don't Start Me To Talkin'
Angel of Death
Bitter Old Man - Live
You're a Witch
Non Serviam
The Gathering
7 Years
Comfort epershand Control
愛を伝えたいだとか
FUSHIGI
Bad News Is Coming
I Mean Love
Night Bus
Dark Matter
Doraemon
Landslide
I'd Rather Be With You [Radio Edit]
Leave The Door Open - Acoustic
Careful
Use Somebody - Acoustic
She Only Lies
What About Us - Acoustic
Hound Dog
Turn To Stone
Drawn by the Wind (Arr. for Guitar)
Don't Shy From The Light
Memories (Acoustic)
She’s The Song
When You Fall in Love
I Won’t Give Up
Suitcase
Stitches
I 'll Play the Blues for You
PRIDE
The Power of Love
Arms Of A Woman
Seeing Other People
King of Anything
Lost Cause - Acoustic Covers Versions of Popular Songs
The Weakness in Me
Honey
I Like to Be With Me When I'm With You
No More - Live
On & On
A Million Years
End Of The Road
"It Really Sucked, Actually"
The Work
Trenchfoot
Unicron
Issues
Darkest Heart
Letter Home
Control
Fall Out
Roll Me Through the Gates of Hell - Acoustic Version
SUN
Sweet but Psycho - Acoustic
I'm the One - Acoustic
Magic
Lost
黄金の月
It Would Be You
As It Was - Acoustic Instrumental
Sweet Child O' Mine - Acoustic
Beyond The Sea
Have I Told You Lately That I Love You - Acoustic
Pilots
さくら - 二〇一九
Homeland
The Hardest Thing
Supermarket Flowers
陽はまた昇る
Swans
The Greatest Showman - Rewrite The Stars (Acoustic)
A Million Dreams - Acoustic
3636
君はロックを聴かない
Tears In Heaven
Paperweight by Joshua Radin and Schuyler Fisk
Meant to Be
Paasa
No Matter Where You Are - Wedding Version
大安
Now We're Starting Over Again
In the Morning
My Babe
What a Time to Be Alive
The Longer I Run
You're Not Sorry - Acoustic Covers Versions of Popular Songs
"Don't Think Twice, It's All Right - Acoustic"
Is There Something
Living in the Moment
Torches Are Calling
Close to You
Far Behind
Protest Songs
White Worms
Miranda
Linoleum
God Gave Me You
Perfectly Dysfunctional
Internet Song
Welcome to Hell
Pop Virus
All Too Well - Jake's Version
Dilemma
Miss You
Kiss Me
White
All Falls Down
This Is Love
Still Falling For You - Acoustic
I Will Wait
Jocelyn Flores - Acoustic Guitar
Use Somebody - Acoustic Version
As Long as You Love Me
Can't Go Back
The Nights - Acoustic
月ひとしずく
Party of One (feat. Sam Smith)
恋の魔力
Take Me Home
ドサ回り数え歌
純風
Truth
Jericho
The Weakness In Me
Invincible
Yellow Lines
No More
Spoonful
Over
Body Terror Song
VI: Don't Let Love Bog You Down
What Are You Doing New Years Eve
SOS - Acoustic Covers Versions
Mosquitoes
High 5
Don't Wanna Be Without Ya
Of Ballots and Barricades - Live
Dirty Little Rag
Day Old Coffee
Clawfoot
Peach
Alone in the Dark Mansion of Madness
Skin Deep (feat. Derek Trucks)
We Shall Not Overcome
Northbound
Sombody else - Acoustic
Stuck with U - Acoustic
Havana - Acoustic
Yakap
Sunflower
Hollywood's Bleeding
Between the Stars
To Whom It May Concern
Issues - Acoustic
花になる
Unconditional
Moth To A Flame - Acoustic Instrumental
Bleeding Love
Light
A Thousand Miles
Darkness Within
Ikaw Lamang
Over You
Stay Right Where You Are
(I Just) Died In Your Arms - Acoustic
Walking By Myself
Nintendo
Diamonds
We'll Make It Through
Untainted Innocence
Afterglow - Stephan Baulig Remix
To the Wind
What Love Really Means
PEOPLE GET READY
Lovin' Whiskey
Already Home
Big Time
Canada
Meet Me in the Shade
I Am So Mad at You
Wind in Your Sails
Deathlessness
"Little Blue Pills, Pt..3"
Drag Me Down
None Exempt
Going To Germany
Rivers
"Fry, Bacon, Fry (Die Pigs!)"
"Dance, Motherfucker, Dance!"
In the Midnight Hour (feat. J.J. Grey)
Seven Nation Army - Acoustic Covers Versions of Popular Songs
She's a Problem
Mood - Acoustic
Long Drive
Pink Sky Moon
We Don't Talk Anymore
Beautiful Girls
Something Beautiful
Cortes de Aragón
Whenever You're Around
The One That Got Away
With or Without You
深夜高速
She's The Song - Acoustic
生きてることが辛いなら
My Heart
アクセス
Life's What You Make It
Memories (Instrumental Guitar)
Duet (feat. Stephanie Briggs)
追憶の雨の中 (Original Version)
I Want It That Way - Acoustic Covers of Popular Songs
明日へゆけ
青空、ひとりきり - Remastered 2018
Someday
All The World (I Tell Myself)
Cried Like A Baby
Good Feeling
踊る人たち
Si Te Vas
So Help Me God
To-Do Lists (Color Coded)
神無月にかこまれて - Remastered 2018
Make It Easy On Yourself
Hollow Man
Waves of Panic
"Of Peace, Quiet And Monsters"
Little Life
Black Girls
Kick Your Lawyer in the Face
Fast Track
Maria
"Corinna - From ""The Natch'l Blues"""
Tall Cans
You Get What You Give
Four Simple Words
Jireh (My Provider)
Ainda Há Tempo
Fellini
Lion Man
Espiral de Ilusão
Yemanjá Chegou
Tô Pra Ver
Terapia
Aló
Vasilhame
Sucrilhos
Chuva Ácida
Breaco
Reza Forte
É o Teste
Pequenina
Milonga de Ojos Dorados (Alfredo Zitarrosa) - Live on Pardelion Music
Até Me Emocionei
Vida Loka I - Live
Demorô
Guerra Batalha
Duas Cidades
Mariô
Só Mais Uma Noite - Live
Pretos Ganhando Dinheiro Incomoda Demais
Samba Sambei
La Makinita
Me Corte na Boca do Céu a Morte Não Pede Perdão
Menino Mimado
Aprendendo a Sobreviver
Tengo Luquita
Primavera (Vai Chuva)
A Cada Vento - Live
Detergente
Nas Águas
Plano de Voo
Chiquitita
Freguês da Meia Noite
Hora da Decisão
"Jah Jah Revolta, Pt. 2"
Dia da Caça
