,artists,count
2378,Baby Lullaby,6
2379,Vetusta Morla,6
2380,J.M. Silk,6
2381,Romanthony,6
2382,The Jackson 5,6
2383,Magneto,6
2384,Steep Canyon Rangers,6
2385,Leiva,6
2386,Sheryl Crow,6
2387,Sufjan Stevens,6
2388,Willie Colón,6
2389,Jinny Ng,6
2390,Faime,6
2391,Pink Sweat$,6
2392,frek!,6
2393,Salserin,6
2394,Reinaldo,6
2395,Dimash Qudaibergen,6
2396,Maranatha! Kids,6
2397,Jay Fung,6
2398,João Bosco & Vinicius,6
2399,really big mountains,6
2400,Teodoro & Sampaio,6
2401,mehro,6
2402,Mayhem,6
2403,John Williamson,6
2404,George Henrique & Rodrigo,6
2405,Lazy Leopard,6
2406,Morbid Angel,6
2407,Kayee Tam,6
2408,Chitãozinho & Xororó,6
2409,Diego & Arnaldo,6
2410,Old & In The Way,6
2411,Wasted Glitter,6
2412,HORSKH,6
2413,Dark Funeral,6
2414,Karthik,6
2415,Tom Jones,6
2416,Taylor Swift,6
2417,Vertical Worship,6
2418,Louis Katz,6
2419,Jadon Lavik,6
2420,Emir Can İğrek,6
2421,Tá Na Mente,6
2422,Grupo Presença,6
2423,Pinhani,6
2424,Shania Twain,6
2425,Serhat Durmus,6
2426,Craig David,6
2427,Joss Stone,6
2428,Glenn Wool,6
2429,Dub Pistols,6
2430,Rota,6
2431,Stuart Thompson,6
2432,Guided By Voices,6
2433,Rhod Gilbert,6
2434,"Joey ""CoCo"" Diaz",6
2435,Hillsong Worship;Benjamin William Hastings,6
2436,Mike Epps,6
2437,D.L. Hughley,6
2438,FiNCH,6
2439,Bruce Bruce,6
2440,Deströyer 666,6
2441,Eddie Neblett,6
2442,Anna Landström,6
2443,Jessie Ware,6
2444,Adam Christopher,6
2445,Roni Size;Reprazent,6
2446,Andrew Norelli,6
2447,Şam,6
2448,Glitzer Gischi,6
2449,Mohit Chauhan,6
2450,Ajda Pekkan,6
2451,Ryan Sickler,6
2452,The Stranglers,6
2453,Allame,6
2454,Cibo Matto,6
2455,Nicholas Hooper,6
2456,Yedinci Ev,6
2457,GUFI,6
2458,The Travelin' McCourys,6
2459,Mipso,6
2460,Tommy Ryman,6
2461,FOVOS,6
2462,Jungle Fire,6
2463,Rodriguinho,6
2464,Andrea Bocelli;Matteo Bocelli;Virginia Bocelli,6
2465,Mitch Fatel,6
2466,Muck Sticky,6
2467,DJ Smallz 732;Kyle Edwards,6
2468,Boozoo Bajou,6
2469,Tenth Avenue North,6
2470,Tři Sestry,6
2471,Daniel Pemberton,6
2472,Donbor,6
2473,Rachael Yamagata,6
2474,Kacey Musgraves,6
2475,Deny,6
2476,Orgone,6
2477,Sarah Brightman,6
2478,Keller & The Keels,6
2479,Dillinger Four,6
2480,Dwarves,6
2481,The Herbaliser,6
2482,Os Travessos,6
2483,Palavrantiga,6
2484,MC 張天賦,6
2485,Hillsong Young & Free;Alexander Pappas,6
2486,Amb,6
2487,Matt Braunger,6
2488,I AM THEY,6
2489,Jesus Culture;Chris Quilala,6
2490,Rose Funeral,5
2491,Marvin Gaye,5
2492,Sammi Cheng,5
2493,Alex Anwandter,5
2494,Shade k,5
2495,Immortal,5
2496,Grasshopper,5
2497,Sam Hui,5
2498,Francisca Valenzuela,5
2499,Djadja & Dinaz,5
2500,Triomphe,5
2501,Cajmere;Dajae,5
2502,Krafty Kuts;Dynamite MC,5
2503,Javiera Mena,5
2504,Ed Solo;Skool Of Thought,5
2505,Jean-Michel Blais,5
2506,Cajmere,5
2507,PLÜM,5
2508,Almir Sater;Renato Teixeira,5
2509,Alemão Do Forró,5
2510,Huda Hudia;DJ30A,5
2511,Priscilla Chan,5
2512,surrenderdorothy,5
2513,brakence,5
2514,Kary Ng,5
2515,Natalie Holt,5
2516,Max e Luan,5
2517,Witchery,5
2518,Dorgival Dantas,5
2519,Piyush Mishra,5
2520,Leviathan,5
2521,Salim–Sulaiman,5
2522,George Ezra,5
2523,Alexi Murdoch,5
2524,Charlie Cunningham,5
2525,TK from Ling tosite sigure,5
2526,Khalil Fong,5
2527,Passenger,5
2528,William So,5
2529,Leo Ku,5
2530,José González,5
2531,MAR ABERTO,5
2532,Regarde Les Hommes Tomber,5
2533,Desejo de Menina,5
2534,LIL DUSTY G,5
2535,XXXTENTACION;Ski Mask The Slump God,5
2536,Bentley Rhythm Ace,5
2537,Peces Raros,5
2538,Mnogoznaal,5
2539,Wesley Safadão,5
2540,Myrkur,5
2541,Dominguinhos,5
2542,Orgy,5
2543,Archive,5
2544,I Monster,5
2545,Moonsorrow,5
2546,Conde do Forró,5
2547,Hacken Lee,5
2548,Lil Pump,5
2549,Ben Lukas Boysen,5
2550,Gabriel Diniz,5
2551,Dusty Springfield,5
2552,Vitinho Imperador,5
2553,"Santanna ""O Cantador""",5
2554,Josh A;iamjakehill,5
2555,"nothing,nowhere.",5
2556,Shirley Kwan,5
2557,SCANDAL,5
2558,Alinka,5
2559,Chelsea Grin,5
2560,Kupla,5
2561,Ben Bailey,5
2562,Chris Hardwick,5
2563,Darryl Lenox,5
2564,Through The Eyes of the Dead,5
2565,MACABRE,5
2566,Ian Edwards,5
2567,Beside,5
2568,Repugnant,5
2569,Eddie Della Siepe,5
2570,Frozen Soul,5
2571,Within The Ruins,5
2572,Currents,5
2573,Billy Gardell,5
2574,Tenacious D,5
2575,Sebastian Maniscalco,5
2576,Bert Kreischer,5
2577,Greg Warren,5
2578,Ömer Balık,5
2579,Oliver Schories,5
2580,Jim Norton,5
2581,death's dynamic shroud,5
2582,Stephan Bodzin,5
2583,Format:B,5
2584,Ricardo Silva,5
2585,Retroj,5
2586,Power Glove,5
2587,ONYVAA;Mattia Trani,5
2588,NICO Touches the Walls,5
2589,Ryan Elliott,5
2590,Rhythim Is Rhythim;Derrick May;Mayday,5
2591,Bleed From Within,5
2592,Simon King,5
2593,Glee Cast;Jonathan Groff,5
2594,David Guetta,5
2595,Dua Lipa,5
2596,Blake Shelton,5
2597,Kenny Chesney,5
2598,Bruno Mars;Anderson .Paak;Silk Sonic,5
2599,Doja Cat,5
2600,AMARIA BB,5
2601,Shawn Mendes,5
2602,Louie Anderson,5
2603,Katy Perry,5
2604,Ashley McBryde,5
2605,Rascal Flatts,5
2606,Lady A,5
2607,Bob Dylan,5
2608,Ingrid Andress,5
2609,Selena Gomez,5
2610,Creedence Clearwater Revival,5
2611,Luke Bryan,5
2612,Nick Swardson,5
2613,David Spade,5
2614,Black Eyed Peas,5
2615,Carl Barron,5
2616,Doblecero,5
2617,Shenseea,5
2618,Skeng,5
2619,WANDS,5
2620,Collie Buddz,5
2621,MegaR,5
2622,Kaliffa,5
2623,Allyawan,5
2624,Mc IG,5
2625,Tim Wilson,5
2626,ZABO,5
2627,Evan Call,5
2628,Mick Gordon,5
2629,ORM,5
2630,Tristam,5
2631,Zomboy,5
2632,GG Magree,5
2633,Tantrum Desire,5
2634,Delta Heavy,5
2635,Metrik,5
2636,Keeno,5
2637,Pola & Bryson,5
2638,itssvd;Shiloh Dynasty,5
2639,DJ Zinc,5
2640,The Prototypes,5
2641,Fred V & Grafix,5
2642,Timmies;Shiloh Dynasty,5
2643,Vluestar,5
2644,Rolf Zuckowski;Sasha;Oonagh,5
2645,Augustus Pablo,5
2646,Animadrop,5
2647,I AM,5
2648,Wiegedood,5
2649,Mabel,5
2650,Belle and the Nursery Rhymes Band,5
2651,Wormwood,5
2652,Icona Pop,5
2653,Vreid,5
2654,Nicky Romero,5
2655,6091,5
2656,Galaxy 2 Galaxy,5
2657,Maribou State;Holly Walker,5
2658,BURNOUT SYNDROMES,5
2659,Frankie Knuckles;Director's Cut;Eric Kupper;Jamie Principle,5
2660,JBABE,5
2661,ASIAN KUNG-FU GENERATION,5
2662,Verzache,5
2663,Absolute Valentine,5
2664,Wolfgang Amadeus Mozart;Academy of St. Martin in the Fields Chamber Ensemble,5
2665,M. S. Subbulakshmi;Radha Viswanathan,5
2666,Markus Becker,5
2667,The Jacksons,5
2668,Arcangelo Corelli;Cet étrange éclat,5
2669,Wolfgang Amadeus Mozart;Gürzenich Orchestra Köln;Günter Wand,5
2670,Wolfgang Amadeus Mozart;Erik Smith,5
2671,Wolfgang Amadeus Mozart;Claire-Marie Le Guay,5
2672,Disney Peaceful Piano;Disney,5
2673,ReoNa,5
2674,The O'Jays,5
2675,Chaka Khan,5
2676,Wolfgang Amadeus Mozart;Ingrid Haebler;London Symphony Orchestra;Witold Rowicki,5
2677,Hyper,5
2678,Owl Vision,5
2679,Priya Sisters,5
2680,Boys,5
2681,Soolamangalam Sisters,5
2682,Anna-Maria Zimmermann,5
2683,Koven,5
2684,Elijah Who,5
2685,Cast - Sofia the First;Sofia,5
2686,Sainte,5
2687,Auli'i Cravalho,5
2688,Diamond Yukai,5
2689,SPYAIR,5
2690,ODESZA,5
2691,Devin Kennedy,5
2692,brb.,5
2693,Jartisto,5
2694,Piano Genie,5
2695,Disney Studio Chorus,5
2696,Calyx & TeeBee,5
2697,Vilen,5
2698,Simone & Simaria,5
2699,Athena,5
2700,The Cure,5
2701,The Guess Who,5
2702,Rana Alagöz;Selçuk Alagöz,5
2703,Cymande,5
2704,Lane 8,5
2705,Martin Garrix,5
2706,Graham Parker & The Rumour,5
2707,The Copyrights,5
2708,The Nerves,5
2709,Western Addiction,5
2710,The Falcon,5
2711,Nerf Herder,5
2712,Superchunk,5
2713,Sloan,5
2714,Sloppy Seconds,5
2715,The Bamboos,5
2716,Nada Surf,5
2717,Ed Sheeran,5
2718,Shreya Ghoshal,5
2719,Waterparks,5
2720,Mulatu Astatke,5
2721,Mithoon;Arijit Singh,5
2722,Tronic,5
2723,Rod Stewart,5
2724,Los Locos Del Ritmo,5
2725,Palito Ortega,5
2726,Cesar Costa,5
2727,Manolo Muñoz,5
2728,Hermanos Carrion,5
2729,Menahan Street Band,5
2730,Shakin' Stevens,5
2731,Marcianeke,5
2732,The Drifters,5
2733,Lupillo Rivera,5
2734,MHRAP,5
2735,Tony Allen,5
2736,QUITAPENAS,5
2737,Orloge Simard,5
2738,Sum 41,5
2739,Chingadazo de Kung Fu,5
2740,GIT,5
2741,El Bordo,5
2742,Udit Narayan,5
2743,Philip,5
2744,NAFTA,5
2745,Parijat,5
2746,Hayley Westenra,5
2747,Shastro,5
2748,David Arkenstone,5
2749,Helen Jane Long,5
2750,Secret Garden,5
2751,ERA,5
2752,Geraldo Azevedo,5
2753,Terno Rei,5
2754,Dona Ivone Lara,5
2755,Dominik Eulberg,5
2756,Alan Fitzpatrick,5
2757,Kollektiv Turmstrasse,5
2758,Weval,5
2759,Kiasmos,5
2760,Argy,5
2761,Electric Callboy,5
2762,Wildways,5
2763,As I Lay Dying,5
2764,Cadena Perpetua,5
2765,Catherine Marie Charlton,5
2766,Mike Rowland,5
2767,Supertramp,5
2768,Ann Sweeten,5
2769,The Fray,5
2770,Ingo ohne Flamingo,5
2771,Orchestra Baobab,5
2772,Andi Latte,5
2773,Micha von der Rampe,5
2774,Negritude Junior,5
2775,Chiclete Com Banana,5
2776,Grupo Raça,5
2777,The Souljazz Orchestra,5
2778,Inimigos Da HP,5
2779,Sem Reznha,5
2780,Doce Encontro,5
2781,Vaudou Game,5
2782,The New Mastersounds,5
2783,Francesco Nicola Fago;Jakub Józef Orliński;Maxim Emelyanychev;Il Pomo D'oro,5
2784,Celtic Thunder;Keith Harkin,5
2785,Sissel,5
2786,George Skaroulis,5
2787,David Lanz,5
2788,Christina Perri,5
2789,Neil Sedaka,5
2790,Cliff Richard & The Shadows,5
2791,KiLLATK,5
2792,Reijo Taipale,5
2793,Sexteto Mayor,5
2794,Juan D'Arienzo y su Orquesta Típica,5
2795,Eladia Blazquez,5
2796,Ricardo Tanturi;Enrique Campos,5
2797,Julio Sosa;Armando Pontier y su Orquesta,5
2798,Nelly Omar,5
2799,Aníbal Troilo,5
2800,Mylène Farmer,5
2801,Ultravox,5
2802,Kombi,5
2803,Alphaville,5
2804,The Human League,5
2805,Daniela Rathana,5
2806,AronChupa;Little Sis Nora,5
2807,Lomoplay,5
2808,Nostalgique,5
2809,sound butler,5
2810,heroku,5
2811,Berg,5
2812,NG Rezonance;S5,5
2813,Valentina Ponomaryova,5
2814,Joseph Sullinger,5
2815,Starfield,5
2816,Hillsong Worship;Hannah Hobbs,5
2817,Mosaic MSC,5
2818,Darlene Zschech,5
2819,KT Tunstall,5
2820,Aron Wright,5
2821,Cem Adrian,5
2822,Kurt Cobain,5
2823,Candan Erçetin,5
2824,Taladro,5
2825,Bailey Jehl,5
2826,Ravend,5
2827,David Holmes,5
2828,Esthero,5
2829,Ancient Astronauts,5
2830,Alex Cortiz,5
2831,Quantic,5
2832,Bonobo;Andreya Triana,5
2833,Lemongrass,5
2834,slån,5
2835,Twinkz,5
2836,Andrew Foy,5
2837,Front Porch Step,5
2838,Mayck & Lyan,5
2839,Chrystian & Ralf,5
2840,Os Serranos,5
2841,Zé Henrique & Gabriel,5
2842,Johnnyswim,5
2843,Alcione,5
2844,Agepê,5
2845,Nelson Arrieta;Ronald Borjas,5
2846,Los Master's,5
2847,Yuri Buenaventura,5
2848,Los 4,5
2849,Alquimia La Sonora Del XXI,5
2850,Checo Acosta,5
2851,Luisito Ayala Y La Puerto Rican Power,5
2852,LA INDIA,5
2853,Marco Luka,5
2854,Porsche Love,5
2855,Соня Тимофеева,5
2856,Алёша Димитриевич,5
2857,João Paulo & Daniel,5
2858,Julie Andrews,5
2859,Eddie van der Meer,5
2860,Darci,5
2861,Lepoka,5
2862,Sharif,5
2863,El Último De La Fila,5
2864,Hombres G,5
2865,Luis Eduardo Aute,5
2866,Jarabe De Palo,5
2867,Ana Torroja,5
2868,Percy Sledge,5
2869,Surfaces,5
2870,Chess In Concert,5
2871,Jamie Miller,5
2872,Aaryan Shah,5
2873,Joshua Radin,5
2874,Relaxing Music Therapy,5
2875,The Interrupters,5
2876,Perikles,5
2877,Maldita Vecindad Y Los Hijos Del 5to. Patio,5
2878,Violent Femmes,5
2879,Caskets,5
2880,Escape the Fate,5
2881,Flema,5
2882,Da Tweekaz,5
2883,Protest The Hero,5
2884,It Dies Today,5
2885,Rise Against,5
2886,Bullet Bane,5
2887,Popeda,5
2888,Billy Idol,5
2889,Jon Hopkins,5
2890,Grouper,5
2891,Scott Brown,5
2892,Rexanthony,5
2893,Chad Lawson,5
2894,Bang!,5
2895,Masters of Ceremony,5
2896,Anime,5
2897,Partyraiser,5
2898,Rotterdam Terror Corps,5
2899,Maxence Cyrin,5
2900,Hakkuhbar,5
2901,Chamin Correa,5
2902,Silverstein,5
2903,Immer Hansi,5
2904,Yaşlı Amca,5
2905,Wasted Penguinz,5
2906,Sonmi451,5
2907,µ-Ziq,5
2908,Ben Lukas Boysen;Sebastian Plano,5
2909,Chris Cornell,5
2910,LOUTA,5
2911,Jo Ann Castle,5
2912,Cowboy Copas,5
2913,Jordan Sandhu,5
2914,Eminem,5
2915,Royal & the Serpent,5
2916,Tegi Pannu;Manni Sandhu,5
2917,Imran Khan,5
2918,Force Mass Motion,5
2919,Bloodbound,5
2920,Kinniku Shōjo Tai,5
2921,Dream Evil,5
2922,Halestorm,5
2923,Limp Bizkit,5
2924,Delete,5
2925,John Pizzarelli,5
2926,Casper Esmann,5
2927,Eduardo Falú,5
2928,William Luna;Julio Humala L,5
2929,Flesh Parade,5
2930,Gavin Luke,5
2931,Agathocles,5
2932,Dropdead,5
2933,Tarja,5
2934,Julien Baker;Phoebe Bridgers;Lucy Dacus,5
2935,Ivory,5
2936,Motorama,5
2937,Icon For Hire,5
2938,Petrus,5
2939,Arvid Lundquist,5
2940,Timo Räisänen,5
2941,Quatro por Um,5
2942,Edo Saiya,5
2943,Lugatti & 9ine,5
2944,Carbon Based Lifeforms,5
2945,Bad//Dreems,5
2946,Parangolé,5
2947,Westside Connection,5
2948,Facada,5
2949,Implore,5
2950,Apartment 213,5
2951,Stone Sour,5
2952,Dúo Romances,5
2953,Los Indios Tacunau,5
2954,Kiko Revatta,5
2955,Carlos Di Fulvio,5
2956,Steve Vai,5
2957,Toadies,5
2958,12 Stones,5
2959,Hoobastank,5
2960,Stoto,5
2961,Cäbränegrä,5
2962,Daniel Araujo,5
2963,Juninho Black,5
2964,Disgorge,5
2965,Wormrot,5
2966,Triac,5
2967,Simon Wester,5
2968,Make Them Die Slowly,5
2969,Graf Orlock,5
2970,Ben Lukas Boysen;Paul Emmerich,5
2971,Ratones Paranoicos,5
2972,Claire Kuo,5
2973,T. M. Soundararajan,5
2974,JEON SOMI,5
2975,Dhanush,5
2976,No Doubt,5
2977,Yuvan Shankar Raja;Sid Sriram,5
2978,Dhanush;Anirudh Ravichander,5
2979,Vince Guaraldi Trio,5
2980,Chet Baker,5
2981,Louis Armstrong,5
2982,Zülfü Livaneli,5
2983,SiM,5
2984,Asu Maralman,5
2985,Nazan Öncel,5
2986,Kinky,5
2987,Yura Yunita,5
2988,B'z,5
2989,The Go-Go's,5
2990,Porcupine Tree,5
2991,Jamie Cullum,5
2992,King Gnu,5
2993,MAMAMOO,5
2994,Secret Agent 23 Skidoo,5
2995,Gece,5
2996,Rock 'n' Rainbow,5
2997,林志炫,5
2998,音樂磁場,5
2999,西卿,5
3000,Crispy脆樂團,5
3001,Rainie Yang,5
3002,BY2,5
3003,SATTHIA,5
3004,Elizabeth Raju,5
3005,Aromal Chekaver,5
3006,Sajeer Koppam;Nysha Fathima,5
3007,Mugen Rao,5
3008,Matadoria,5
3009,Julianno Sosa,5
3010,Kevin Martes 13,5
3011,Thalia,5
3012,Selena,5
3013,Jhayco,5
3014,The Killers,5
3015,Thousand Foot Krutch,5
3016,ZUTOMAYO,5
3017,Bishop Briggs,5
3018,Third Eye Blind,5
3019,PassCode,5
3020,Dope,5
3021,Lyn Lapid,5
3022,Echosmith,5
3023,Bipul Chettri,5
3024,Claire Rosinkranz,5
3025,Mitski,5
3026,Cavetown,5
3027,Owl City,5
3028,Clairo,5
3029,Måneskin,5
3030,Ashwin Adwani,5
3031,Bharat Chauhan,5
3032,Twin Strings,5
3033,Pritam;Arijit Singh;Antara Mitra,5
3034,Deepak Rathore Project,5
3035,Pritam;Shreya Ghoshal,5
3036,Pritam;Arijit Singh;Shilpa Rao,5
3037,Isan,5
3038,Bochum Welt,5
3039,A Rocket To The Moon,5
3040,Faderhead,5
3041,Priest,5
3042,Fetty Wap;Monty,5
3043,Chisato Moritaka,5
3044,Hysteric Panic,5
3045,ROTTENGRAFFTY,5
3046,Tokyo Girls' Style,5
3047,Wolfmother,5
3048,Hole,5
3049,Tony Matterhorn,5
3050,Blackstreet,5
3051,Out of Nowhere,5
3052,Snake River Conspiracy,5
3053,Connate Exasperation,5
3054,Atria,5
3055,Everclear,5
3056,Azooma,5
3057,Arash Pandi,5
3058,Arsames,5
3059,La 25,5
3060,Apoptygma Berzerk,5
3061,Tiamat,5
3062,Ruel,5
3063,Incantation,5
3064,Steve Martin;Steep Canyon Rangers,5
3065,Samuel Messias,5
3066,Steppenwolf,5
3067,Acústicos & Valvulados,5
3068,Heloisa Rosa,5
3069,Norman Blake,5
3070,Paula Toller,5
3071,Don L,5
3072,Salif Keita,5
3073,Dinah Washington,5
3074,The Moody Blues,5
3075,The Del McCoury Band,5
3076,Lynyrd Skynyrd,5
3077,Johnnie Taylor,5
3078,T.K. Soul,5
3079,Aretha Franklin,5
3080,Fredy Miller,5
3081,Charlie Parr,5
3082,Central 3,5
3083,Cidade Negra,5
3084,"Crosby, Stills & Nash",5
3085,Discopraise,5
3086,Juliano Son,5
3087,The Stanley Brothers,5
3088,Walmir Alencar,5
3089,Eric Clapton,5
3090,Flora Matos,5
3091,Jefferson Airplane,5
3092,Ricky Skaggs,5
3093,Larry Sparks,5
3094,Dailey & Vincent,5
3095,Belphegor,5
3096,UFO,5
3097,Aurelina Dourado,5
3098,Eyshila,5
3099,Tony Rice Unit,5
3100,Yung Buda,5
3101,The Po' Ramblin' Boys,5
3102,Colo de Deus,5
3103,Railroad Earth,5
3104,BK;El Lif Beatz,5
3105,Sarah Farias,5
3106,Natiruts,5
3107,Marquinhos Gomes,5
3108,Fats Domino,5
3109,Carnifex,5
3110,O Teatro Mágico,5
3111,Billie Holiday,5
3112,Fleshgod Apocalypse,5
3113,Joe Cocker,5
3114,Blue Moon Rising,5
3115,Tequila Baby,5
3116,J.J. Cale,5
3117,Carpathian Forest,5
3118,Helmet,4
3119,Ondatrópica,4
3120,Alicia Keys,4
3121,Revolting Cocks,4
3122,Chantry Johnson,4
3123,Sote,4
3124,The 69 Eyes,4
3125,Alone At Last,4
3126,Porya Hatami;Roberto Attanasio;Aaron Martin,4
3127,Ghoultown,4
3128,Helios,4
3129,Автостопом по фазе сна,4
3130,POORSTACY,4
3131,Kino,4
3132,Lil' Ron Ron,4
3133,Incubus,4
3134,Shoshana Bean,4
3135,BadKidMacei,4
3136,Pigface,4
3137,X-RX,4
3138,Breakestra,4
3139,convolk,4
3140,Rodriguinho;Gaab;Mr. Dan,4
3141,Unknown Mortal Orchestra,4
3142,Radical Redemption,4
3143,Puscifer,4
3144,Ethan Dufault,4
3145,Lani Love,4
3146,Presence,4
3147,Raça Negra,4
3148,Furkan Sert,4
3149,Disciples,4
3150,Klamydia,4
3151,D.O.D,4
3152,Penny Tai,4
3153,Andy Tallent,4
3154,Jeff Chang,4
3155,Beach Fossils,4
3156,Sickbrain,4
3157,Deadsy,4
3158,Laus Høybye;Krummerne,4
3159,Walt's Piano,4
3160,Lebo M.,4
3161,Thiago Soares,4
3162,Santana,4
3163,Hot Water Music,4
3164,Nbdy,4
3165,glass beach,4
3166,menores atos,4
3167,slchld,4
3168,Korol i Shut,4
3169,Jane's Addiction,4
3170,Ran-D,4
3171,O Surto,4
3172,Massacre,4
3173,Doctora Juguetes;Felpita;Lambie;Hallie,4
3174,Ashbury Heights,4
3175,Hocico,4
3176,Sound Rush,4
3177,Southern Culture on the Skids,4
3178,ELLEGARDEN,4
3179,Bulldog,4
3180,La Floripondio,4
3181,Shiloh Dynasty;Unclenathannn,4
3182,W&W,4
3183,Korn,4
3184,Mark Benson,4
3185,Desalmado,4
3186,Streetlight Manifesto,4
3187,Roger Bart,4
3188,Alberto Vazquez;Manolo Muñoz,4
3189,10cc,4
3190,Leandro Borges,4
3191,Rahul Deshpande,4
3192,Vedavathi Prabhakar;CHAYA DEVI,4
3193,Machine Gun Kelly,4
3194,Um Barril de Rap,4
3195,Attila,4
3196,Nervosa,4
3197,Miss May I,4
3198,Fit For An Autopsy,4
3199,Skinless,4
3200,Leidy Murilho,4
3201,Talita Barreto,4
3202,MGMT,4
3203,The Dust Brothers,4
3204,Varials,4
3205,Mree,4
3206,Franz Schubert;Yanica Hristova,4
3207,Bloodred Hourglass,4
3208,Lack Of Afro,4
3209,Berlin Minimal,4
3210,Franz Schubert;Kanako Yanagida;Kentaro Ifuku,4
3211,Ritchie Valens,4
3212,Nxtwave,4
3213,Nikhil D'Souza,4
3214,Rita Lee;Roberto De Carvalho,4
3215,Equilibrium,4
3216,Whitechapel,4
3217,Astor Piazzolla;Nora Lee García;Rene Izquierdo,4
3218,Norbert Leo Butz,4
3219,Maurice Ravel;Duo Synopsis,4
3220,Avoure,4
3221,Vitalic,4
3222,La Adictiva,4
3223,Goom Gum,4
3224,Cavalera Conspiracy,4
3225,Joris Delacroix,4
3226,The Dynamics,4
3227,Unearth,4
3228,PEARS,4
3229,Zimmz,4
3230,Franz Liszt;Una Bourne,4
3231,El Bebeto,4
3232,Ali Farka Touré,4
3233,Possessed by Paul James,4
3234,Moliy,4
3235,Carmen Cusack;Bright Star Original Broadway Ensemble,4
3236,Polaris,4
3237,General Surgery,4
3238,Sublime,4
3239,Sam Fender,4
3240,Olivia Belli,4
3241,Burnt By The Sun,4
3242,The Haunted,4
3243,Four Year Strong,4
3244,Fox Lake,4
3245,Zeromancer,4
3246,Hate,4
3247,Los Gardelitos,4
3248,Estelares,4
3249,Recondite,4
3250,Cloud Rat,4
3251,Velhas Virgens,4
3252,Bombay Bicycle Club,4
3253,Laurent Garnier,4
3254,Otaku;LoFi Waiter,4
3255,Steven Pasquale,4
3256,Poppie Swag,4
3257,Bhuvan Bam,4
3258,Banda Autentica de Jerez,4
3259,Fear Factory,4
3260,Pyotr Ilyich Tchaikovsky;Una Bourne,4
3261,Paul Anka,4
3262,Chromatics,4
3263,Samba De Dom,4
3264,Gatecreeper,4
3265,Death Toll 80K,4
3266,ACxDC,4
3267,Ed Gein,4
3268,Imperiet,4
3269,Maribou State,4
3270,Dead By Sunrise,4
3271,Japanische Kampfhörspiele,4
3272,Thiago Martins,4
3273,Dead To Fall,4
3274,Blood Duster,4
3275,Angerfist,4
3276,Ensiferum,4
3277,RADWIMPS;Toko Miura,4
3278,Zombina & The Skeletones,4
3279,Atreyu,4
3280,Eric Land,4
3281,Llorca,4
3282,Little People,4
3283,Márcia Fellipe,4
3284,Clint Mansell,4
3285,Mattos Nascimento,4
3286,Paulo Pires,4
3287,Quantic;Nidia Gongora,4
3288,Ocean Sounds;Ocean Waves For Sleep,4
3289,GusGus,4
3290,Thiago Jhonathan (TJ),4
3291,Flunk,4
3292,Lambert,4
3293,Lamb,4
3294,DJ Düse,4
3295,Brazilian Girls,4
3296,Stephen Sondheim,4
3297,João Gustavo e Murilo,4
3298,Solange Almeida,4
3299,Lovage;Nathaniel Merriweather,4
3300,Tanto Metro & Devonte,4
3301,Ina Colada,4
3302,Extrawelt,4
3303,Pond,4
3304,Tayrone Cigano,4
3305,Einmusik,4
3306,Mara Lima,4
3307,Joris Voorn,4
3308,John De Sohn,4
3309,Mountain Sprout,4
3310,Stella Laura,4
3311,Brunner & Brunner,4
3312,Mr. Scruff,4
3313,Sleepy Times,4
3314,Split Lip Rayfield,4
3315,Daniela Araújo,4
3316,Jay-Jay Johanson,4
3317,Cavalo De Pau,4
3318,Emilíana Torrini,4
3319,Anirudh Ravichander;Dhanush,4
3320,Forrozão Tropykalia,4
3321,Balek,4
3322,David Quinlan,4
3323,Buray,4
3324,Brasas do Forró,4
3325,Forró Ideal,4
3326,Roy Davis Jr.;Terry Dexter,4
3327,Dan Ventura,4
3328,Mig,4
3329,Lil Nas X,4
3330,Ralphi Rosario;Xavier Gold,4
3331,Frankie Knuckles;Adeva,4
3332,Emperor,4
3333,IU,4
3334,Jacek Stachursky,4
3335,Noisecontrollers;Bass Modulators,4
3336,Matt Sassari,4
3337,The Dream Syndicate,4
3338,Naglfar,4
3339,Ransom,4
3340,Akhil,4
3341,阿吉仔,4
3342,1349,4
3343,Maninder Buttar,4
3344,Elvis Costello;Burt Bacharach,4
3345,Roy Davis Jr.;Peven Everett,4
3346,Sodom,4
3347,Dan Vapid & the Cheats,4
3348,Tepki,4
3349,Jesse Saunders,4
3350,The Isley Brothers,4
3351,Banda Calypso,4
3352,Soró Silva,4
3353,Larry Heard;Mr White,4
3354,dj funk,4
3355,Federico Aubele,4
3356,SNAP!,4
3357,Malla 100 Alça,4
3358,Rafinha o Big Love,4
3359,Moonbootica,4
3360,Gershon Jackson;Reset Preset,4
3361,Horn,4
3362,Quintino,4
3363,Aaron Smith;Malik Hart,4
3364,Cavaleiros do Forró,4
3365,Nivaldo Marques,4
3366,Coone,4
3367,Xanthochroid,4
3368,Chez Damier;Ron Trent;M.D,4
3369,Asas Livres,4
3370,Canindé,4
3371,Droplex,4
3372,Nitin Sawhney,4
3373,The Bluegrass Album Band,4
3374,Schürze,4
3375,Vou pro Sereno;Reinaldo,4
3376,John Legend,4
3377,Lu Han,4
3378,Christian Kuria,4
3379,Timbalada,4
3380,She Past Away,4
3381,Cliff Martinez,4
3382,CORBAL;Shiloh Dynasty;itssvd,4
3383,flora cash,4
3384,Analy,4
3385,Baramant,4
3386,Arvid Nero,4
3387,Gondwana,4
